criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0062_c02,1.652947,0.0,5.433761,115,0.770232
tb_0062_c05,1.310143,0.0,4.384357,115,0.562828
tb_0063_c01,0.696124,0.0,-0.095129,110,0.137034
tb_0063_c03,2.005411,0.0,4.368993,115,0.627452
tb_0063_c04,0.936731,0.0,2.109789,115,0.252109
tb_0063_c05,1.25251,0.0,3.242713,113,0.413241
tb_0063_c06,0.936433,0.0,1.6576,113,0.225073
tb_0063_c08,0.557097,0.0,3.290396,114,0.30894
tb_0063_c10,0.938252,0.0,4.536944,115,0.574936
tb_0065_c01,1.761182,0.0,5.660818,115,0.820675
tb_0065_c02,6.073495,0.0,19.695755,115,4.422169
tb_0065_c03,0.678356,0.0,3.725389,115,0.389289
tb_0065_c04,6.073495,0.0,19.695755,115,4.422169
tb_0065_c05,1.761182,0.0,5.660818,115,0.820675
tb_0065_c08,0.0,-0.379344,2.441407,115,0.352498
tb_0066_c02,0.752549,0.0,1.664558,115,0.193914
tb_0067_c02,1.372348,0.0,6.154075,115,0.988458
tb_0067_c04,1.372897,0.0,2.23161,115,0.348423
tb_0067_c06,0.865908,0.0,0.853847,114,0.177856
tb_0068_c02,0.897427,0.0,4.0236,115,0.465959
tb_0068_c04,6.073495,0.0,19.695755,115,4.422169
tb_0069_c05,1.372348,0.0,6.154075,115,0.988458
tb_0069_c07,0.654507,0.0,0.875372,114,0.147367
tb_0069_c09,0.923002,0.0,3.384868,109,0.374262
tb_0069_c11,2.014878,0.307841,4.705502,114,0.686988
tb_0069_c13,1.617502,0.0,5.886871,115,0.856948
tb_0069_c14,0.165787,0.0,2.768833,115,0.203718
tb_0069_c17,1.372348,0.0,6.154075,115,0.988458
tb_0070_c01,0.876362,0.0,1.948296,115,0.230858
tb_0070_c02,1.00595,0.0,1.76296,115,0.243142
tb_0070_c03,1.617502,0.0,5.886871,115,0.856948
tb_0070_c04,1.761182,0.0,5.660818,115,0.820675
tb_0070_c05,1.617502,0.0,5.886871,115,0.856948
tb_0070_c06,1.761182,0.0,5.660818,115,0.820675
tb_0070_c08,0.384464,0.0,1.330338,115,0.132686
tb_0071_c01,0.664595,0.0,3.146612,115,0.304014
tb_0071_c04,0.95919,0.0,-1.509911,112,0.169991
tb_0072_c01,0.669126,0.0,1.830103,112,0.194444
tb_0072_c04,0.910001,0.0,-0.291255,115,0.15995
tb_0072_c05,0.606332,0.0,2.884183,115,0.265859
tb_0072_c06,0.644577,0.0,3.687243,115,0.378517
tb_0072_c07,0.700159,0.0,2.954614,114,0.286843
tb_0072_c08,0.388726,0.0,2.752822,115,0.224565
tb_0072_c09,2.708408,2.98059,8.493531,115,2.714178
tb_0073_c01,2.148026,0.0,3.458599,115,0.615865
